,actual values,predicted values
7404,[-0.75410364],[-0.63581234]
7405,[-0.1454868],[-0.06503577]
7406,[-0.19276483],[-0.41274727]
7407,[-0.44941699],[-0.47213727]
7408,[-0.51695704],[-0.3312912]
7409,[-0.41564697],[0.22873427]
7410,[0.09765736],[0.28496083]
7411,[-0.53046505],[-0.25150882]
7412,[0.68525573],[0.90109141]
7413,[-0.67905314],[-0.75535359]
7414,[-0.83439524],[-0.56118953]
7415,[-1.21937349],[-1.26258471]
7416,[2.3602488],[2.1989769]
7417,[0.51640562],[0.40864649]
7418,[-0.49669502],[-0.60941238]
7419,[-0.49669502],[-0.66096116]
7420,[0.69125329],[0.62100776]
7421,[-0.18601083],[0.07685075]
7422,[0.37457153],[0.06921888]
7423,[-0.05768474],[-0.04220492]
7424,[-0.7668552],[-0.87287846]
7425,[-0.1522408],[-0.49231669]
7426,[-0.83439524],[-0.91525256]
7427,[-0.68580714],[-0.48110705]
7428,[2.02254858],[1.50705121]
7429,[0.17870541],[0.07518529]
7430,[0.24624545],[0.5320777]
7431,[-1.11806342],[-1.15804435]
7432,[-0.73308517],[-0.94901952]
7433,[-1.21261948],[-1.07457002]
7434,[0.40158755],[0.41167156]
7435,[0.55017564],[0.01396711]
7436,[-0.73308517],[-0.97351037]
7437,[-0.96947533],[-0.78820052]
7438,[-0.462925],[-0.58904292]
7439,[-0.42915498],[-0.43800839]
7440,[0.34755551],[0.05872218]
7441,[-0.39538496],[-0.32173782]
7442,[1.52275227],[1.25941535]
7443,[0.82708982],[0.54540996]
7444,[-0.6115131],[-0.80186477]
7445,[0.26650746],[-0.12282037]
7446,[-0.69931515],[-0.75447647]
7447,[-0.66554513],[-0.39631958]
7448,[-0.66554513],[-0.63962391]
7449,[-0.02391472],[0.07409289]
7450,[-0.70907469],[-0.63467443]
7451,[-0.26030487],[-0.48796298]
7452,[1.76589642],[1.64950428]
7453,[-0.42240098],[-0.3318983]
7454,[-1.07078539],[-1.15959067]
7455,[0.07739534],[0.09598184]
7456,[-0.59800509],[-0.58522829]
7457,[-0.69931515],[-0.68335693]
7458,[-0.07119275],[-0.12815738]
7459,[-0.83439524],[-0.88707904]
7460,[-0.40348976],[-0.33890066]
7461,[-0.55748106],[-0.69338527]
7462,[-0.10833978],[-0.42595929]
7463,[1.59704631],[1.23847157]
7464,[0.11116536],[0.05178402]
7465,[0.44886558],[0.65850774]
7466,[-0.86816526],[-0.73075314]
7467,[-0.58449708],[-0.65794233]
7468,[1.2593461],[0.84033627]
7469,[-0.73308517],[-0.71302541]
7470,[0.7865658],[0.4202289]
7471,[-0.32784492],[-0.11175351]
7472,[0.10441136],[0.12950327]
7473,[-0.80062522],[-0.48446091]
7474,[-1.03701537],[-1.1767675]
7475,[-1.03701537],[-0.80730326]
7476,[-0.02391472],[-0.32232623]
7477,[1.63081633],[1.71496945]
7478,[1.59704631],[1.13382567]
7479,[-0.63177511],[-0.57161532]
7480,[-0.05768474],[-0.30090301]
7481,[-0.19276483],[-0.64994789]
7482,[0.54342164],[0.72830768]
7483,[0.07739534],[0.69899572]
7484,[-0.39538496],[-0.30213506]
7485,[-0.84790325],[-0.70712177]
7486,[1.36065616],[1.17987869]
7487,[0.44886558],[-0.0041935]
7488,[-0.1454868],[-0.4538887]
7489,[-1.00324535],[-1.04380448]
7490,[0.07739534],[-0.18464772]
7491,[-0.66554513],[-0.29937811]
7492,[-0.40889297],[-0.68773827]
7493,[-1.00999935],[-1.11035685]
7494,[2.23116627],[2.08909703]
7495,[0.28001547],[0.0760893]
7496,[-0.80062522],[-0.74687821]
7497,[-0.32784492],[0.47576285]
7498,[-0.19276483],[-0.19276488]
7499,[1.14452802],[1.42658411]
7500,[0.59069967],[0.75304715]
7501,[-0.96947533],[-0.82979006]
7502,[0.26650746],[-0.34093332]
7503,[-0.27381288],[-0.21060807]
7504,[-0.39538496],[-0.51628409]
7505,[2.54260692],[2.00704159]
7506,[0.24624545],[0.81247689]
7507,[-1.17209546],[-1.12255231]
7508,[-0.39538496],[-0.28645766]
7509,[1.93474653],[1.19460474]
7510,[1.63081633],[1.90047583]
7511,[0.60420768],[0.03985025]
7512,[1.02295595],[0.89019744]
7513,[-0.39538496],[-0.58075578]
7514,[0.28001547],[0.02375203]
7515,[-0.73308517],[-0.59574303]
7516,[1.00944794],[1.36376342]
7517,[-0.49669502],[-0.65181413]
7518,[-0.29407489],[-0.54846503]
7519,[-0.57098907],[-0.63435724]
7520,[-1.13832543],[-1.28653587]
7521,[0.22598344],[0.57107122]
7522,[-0.90193528],[-0.66809919]
7523,[-1.35445357],[-1.5158216]
7524,[-0.59800509],[-0.65170172]
7525,[-0.67229914],[-0.9171584]
7526,[1.4281962],[1.7450624]
7527,[-1.2396355],[-0.9981161]
7528,[0.96892391],[-0.03543497]
7529,[0.55017564],[0.09009512]
7530,[-1.00324535],[-1.02448435]
7531,[4.46749814],[3.97404613]
7532,[-0.39538496],[-0.40559142]
7533,[-0.05768474],[-0.0144912]
7534,[-0.79387121],[-0.34085119]
7535,[-0.12522479],[-0.26940191]
7536,[-0.04417674],[-0.11336882]
7537,[-1.11941422],[-1.30439892]
7538,[-0.29407489],[-0.33548318]
7539,[-0.02391472],[-0.05616629]
7540,[-0.44266299],[-0.69688156]
7541,[-0.26030487],[-0.09503597]
7542,[-0.91544329],[-0.5423237]
7543,[-0.29407489],[0.24409432]
7544,[-0.39538496],[-0.32483913]
7545,[-0.40289541],[-0.12280444]
7546,[-0.15899481],[-0.12860398]
7547,[-0.22653485],[-0.39689064]
7548,[1.09049599],[0.95420373]
7549,[0.31378549],[0.03484914]
7550,[-1.32743755],[-1.35443675]
7551,[-0.83439524],[-1.02659349]
7552,[-0.46967901],[-0.65355959]
7553,[-0.56423507],[-0.53400194]
7554,[-1.04452582],[-1.14500085]
7555,[-0.57098907],[-0.45973302]
7556,[1.83343646],[2.22412168]
7557,[0.17870541],[0.27918304]
7558,[-0.17925682],[0.02415411]
7559,[2.31972477],[1.98696483]
7560,[1.02295595],[0.6147117]
7561,[-1.16534145],[-1.17642073]
7562,[-0.12522479],[-0.21042441]
7563,[0.33404751],[-0.15067713]
7564,[-0.15899481],[-0.04263361]
7565,[0.0098553],[-0.01131725]
7566,[-0.02391472],[-0.05644697]
7567,[2.10359664],[1.98386105]
7568,[1.07698798],[1.09391084]
7569,[-1.15183344],[-1.22271193]
7570,[-0.39538496],[-0.2740483]
7571,[-0.66554513],[-0.80170029]
7572,[-0.54397305],[-0.40484023]
7573,[-0.10496277],[-0.51316598]
7574,[0.0098553],[-0.28146623]
7575,[-0.59800509],[-0.58264981]
7576,[-1.03701537],[-1.18725905]
7577,[-1.07078539],[-1.1260607]
7578,[0.98918592],[0.78310475]
7579,[2.81276709],[3.05048728]
7580,[-0.94921331],[-0.78264268]
7581,[-0.09145477],[0.27132342]
7582,[-1.19235747],[-1.14293334]
7583,[-0.83439524],[-0.82183144]
7584,[1.76589642],[0.99153111]
7585,[-1.13832543],[-1.0028167]
7586,[0.98918592],[1.0097051]
7587,[2.677687],[2.25764521]
7588,[-1.17209546],[-1.11607586]
7589,[0.44886558],[0.4984532]
7590,[0.69876374],[0.69957314]
7591,[0.60420768],[0.4813348]
7592,[-0.19276483],[-0.29057039]
7593,[0.88787586],[0.92822868]
7594,[0.85410584],[0.97726001]
7595,[-0.19276483],[-0.09498757]
7596,[0.31378549],[0.63251376]
7597,[0.56368365],[0.55724715]
7598,[0.0098553],[0.56691726]
7599,[-0.26030487],[-0.08529548]
7600,[0.11116536],[-0.0122]
7601,[-0.90193528],[-0.57455387]
7602,[-1.15183344],[-1.09229894]
7603,[0.37457153],[0.37617731]
7604,[-0.19276483],[-0.08689221]
7605,[-1.13832543],[-1.07482062]
7606,[-0.56423507],[-0.572004]
7607,[1.05672597],[0.69676279]
7608,[-0.86816526],[-0.70552529]
7609,[0.15844339],[-0.1650778]
7610,[-0.1387328],[-0.18845236]
7611,[-0.17250282],[-0.19100949]
7612,[-1.13832543],[-0.67565395]
7613,[-0.60551554],[-0.64144922]
7614,[-0.71282316],[-0.59225304]
7615,[0.88787586],[1.01440894]
7616,[2.00904058],[1.23669002]
7617,[-0.11171678],[-0.05258796]
7618,[0.11116536],[-0.11348585]
7619,[-1.40848561],[-1.62439827]
7620,[3.13020529],[3.17164906]
7621,[-1.07078539],[-0.95926283]
7622,[-0.86816526],[-0.66198289]
7623,[-0.56423507],[-0.24402849]
7624,[-0.59800509],[-0.6174709]
7625,[-0.02391472],[-0.18481477]
7626,[-0.34135292],[-0.11489368]
7627,[-0.29407489],[-0.11048221]
7628,[-0.20627284],[-0.0091794]
7629,[-0.1522408],[-0.03085638]
7630,[0.65148571],[0.67482876]
7631,[1.24583809],[0.65532901]
7632,[0.41509556],[0.33158471]
7633,[-1.07078539],[-1.13453384]
7634,[-0.6115131],[-0.45279526]
7635,[-0.462925],[-0.23934737]
7636,[-0.29407489],[-0.38663789]
7637,[-0.15899481],[-0.15356557]
7638,[0.06388733],[0.38961672]
7639,[-0.36161494],[-0.24173016]
7640,[2.57637694],[2.02318751]
7641,[0.67174772],[0.60437809]
7642,[3.58196713],[3.46818131]
7643,[-0.9357053],[-0.14345611]
7644,[0.82033582],[1.13879074]
7645,[-0.12522479],[-0.27242751]
7646,[-0.34135292],[-0.64865634]
7647,[2.17113668],[1.73237774]
7648,[0.58394567],[0.71774169]
7649,[-0.22653485],[-0.08304664]
7650,[-0.49669502],[-0.60093748]
7651,[0.44886558],[0.67624994]
7652,[-0.07870321],[-0.23548424]
7653,[0.68525573],[-0.07932931]
7654,[1.90097651],[1.71992465]
7655,[-0.32784492],[-0.18373326]
7656,[1.50167977],[0.78841417]
7657,[0.17870541],[0.22242939]
7658,[-0.47643301],[0.35420804]
7659,[0.7865658],[0.8691297]
7660,[0.65148571],[0.46614033]
7661,[0.52991363],[0.60763567]
7662,[-0.31433691],[-0.50441177]
7663,[2.77899707],[1.83638835]
7664,[-0.66554513],[-0.51603445]
7665,[0.85410584],[0.78094234]
7666,[-0.53046505],[-0.43452494]
7667,[2.31972477],[2.42745474]
7668,[-0.05768474],[-0.13882736]
7669,[-1.37471558],[-1.36490738]
7670,[-0.12522479],[0.38535093]
7671,[-0.39538496],[-0.56281233]
7672,[-0.24341986],[-0.48774424]
7673,[-0.84790325],[-1.07353809]
7674,[1.93474653],[1.8080288]
7675,[-1.17209546],[-1.3823132]
7676,[-0.84790325],[-0.79407252]
7677,[-0.48318702],[-0.38829543]
7678,[0.88787586],[1.02306787]
7679,[2.29946276],[2.17339082]
7680,[-1.20586548],[-1.08522107]
7681,[-1.01675336],[-0.80585084]
7682,[-1.00324535],[-0.91816473]
7683,[-0.15899481],[0.03547488]
7684,[-0.56423507],[-0.4082784]
7685,[-0.59800509],[-0.11450984]
7686,[-0.15899481],[-0.17588262]
7687,[-0.15899481],[-0.2625098]
7688,[-0.69931515],[-0.60236704]
7689,[-0.12522479],[-0.21982205]
7690,[-0.49669502],[-0.18406618]
7691,[0.13142738],[-0.00542373]
7692,[0.92164588],[0.76751614]
7693,[0.65823971],[0.08594398]
7694,[-0.462925],[-0.52525611]
7695,[-1.07078539],[-1.00573088]
7696,[-0.09145477],[-0.14476265]
7697,[-1.54356569],[-1.50570088]
7698,[1.56327629],[1.87941311]
7699,[-0.19276483],[-0.20120743]
7700,[-0.57774308],[-0.82631479]
7701,[-1.25314351],[-1.11202567]
7702,[-1.07078539],[-1.0446801]
7703,[-0.26030487],[-0.21925111]
7704,[-1.07078539],[-1.35857132]
7705,[-0.47643301],[-0.15421308]
7706,[0.03611487],[-0.16292595]
7707,[-0.19276483],[-0.177265]
7708,[0.19896742],[0.00373904]
7709,[-0.66554513],[-0.38240162]
7710,[-1.00324535],[-1.02630641]
7711,[-0.19276483],[-0.53207632]
7712,[2.2049067],[1.8512414]
7713,[-1.13832543],[-1.20645366]
7714,[-0.26030487],[0.21701367]
7715,[1.49573625],[1.5288771]
7716,[-0.12522479],[-0.00586693]
7717,[0.55017564],[0.53028333]
7718,[1.4146882],[1.88736641]
7719,[0.33404751],[0.47995865]
7720,[0.03687132],[-0.02771224]
7721,[0.55017564],[1.3395604]
7722,[-0.49669502],[-0.60235041]
7723,[0.28001547],[-0.16166755]
7724,[-0.66554513],[-0.86719245]
7725,[-0.36161494],[-0.40734283]
7726,[0.60420768],[0.01552462]
7727,[-0.40289541],[-0.2781175]
7728,[0.92164588],[1.01632923]
7729,[-0.09145477],[0.04978071]
7730,[-0.59800509],[-0.59152424]
7731,[-0.73308517],[-0.16929676]
7732,[-0.78036321],[-0.85343121]
7733,[-0.59800509],[-0.12766627]
7734,[0.75279577],[0.59488667]
7735,[0.69876374],[0.93442534]
7736,[-0.55072706],[-0.3442564]
7737,[1.56327629],[1.62635334]
7738,[0.14493539],[0.02393708]
7739,[1.21206807],[0.92652387]
7740,[-0.47643301],[-0.50564329]
7741,[0.29352348],[-0.22876893]
7742,[-1.17209546],[-0.86973578]
7743,[-0.02391472],[-0.08950062]
7744,[-0.80062522],[-0.71091854]
7745,[-0.80062522],[-1.02682805]
7746,[-0.73308517],[-0.75888039]
7747,[-0.42915498],[-0.69083481]
7748,[-0.86816526],[-0.53831597]
7749,[-1.20586548],[-1.20936345]
7750,[-0.90193528],[-0.9711979]
7751,[0.88787586],[0.53666152]
7752,[-0.88167327],[-0.91637621]
7753,[0.0098553],[-0.40834957]
7754,[2.2049067],[1.64383937]
7755,[-1.00324535],[-0.88493604]
7756,[-0.66554513],[-0.52171388]
7757,[0.89462986],[0.44965445]
7758,[-0.02391472],[-0.0796468]
7759,[-0.56423507],[-0.52389637]
7760,[0.14493539],[-0.22565837]
7761,[-0.462925],[-0.59926613]
7762,[0.28001547],[0.47653697]
7763,[-1.41523961],[-1.56158596]
7764,[2.30621677],[2.13143448]
7765,[-0.63177511],[-0.65726975]
7766,[-0.83439524],[-0.58524022]
7767,[-0.27381288],[-0.22713469]
7768,[0.17870541],[0.10578115]
7769,[-0.36161494],[-0.40721038]
7770,[-0.9357053],[-1.03621586]
7771,[-1.19235747],[-1.02944567]
7772,[0.28001547],[0.44974062]
7773,[-0.02391472],[-0.12284919]
7774,[0.14493539],[-0.00736514]
7775,[0.07739534],[0.01641611]
7776,[-0.12522479],[-0.06474448]
7777,[-0.27381288],[-0.52361243]
7778,[-0.19276483],[-0.21709036]
7779,[-1.16534145],[-1.0644258]
7780,[-0.71282316],[-0.65054915]
7781,[2.44129685],[2.71066349]
7782,[-1.05052338],[-1.05685397]
7783,[-0.92295374],[-0.79040714]
7784,[-0.1522408],[-0.57068426]
7785,[0.60420768],[0.36687648]
7786,[2.59663895],[2.27083758]
7787,[-0.462925],[-0.54096617]
7788,[-0.33459892],[-0.48150724]
7789,[1.02295595],[0.91004476]
7790,[-0.36161494],[-0.61139783]
7791,[-0.22653485],[-0.50355953]
7792,[0.92164588],[0.72222248]
7793,[-0.44266299],[-0.46382489]
7794,[0.61020523],[0.29173367]
7795,[-1.13157143],[-1.13696612]
7796,[-0.29407489],[-0.13764571]
7797,[-1.18560346],[-1.15040604]
7798,[-1.00324535],[-0.88773331]
7799,[0.41509556],[0.14099274]
7800,[-1.21937349],[-1.09595617]
7801,[-1.40848561],[-1.47237905]
7802,[-0.09145477],[0.19322784]
7803,[0.11116536],[0.05820254]
7804,[-0.56423507],[-0.82902787]
7805,[1.12426601],[1.07376006]
7806,[-0.42915498],[-0.25209501]
7807,[-0.7668552],[-0.52927922]
7808,[-0.59800509],[-0.1470995]
7809,[0.65148571],[-0.06122033]
7810,[-0.36161494],[-0.16771928]
7811,[1.81992845],[1.08064757]
7812,[0.11791937],[0.14700218]
7813,[-0.19951883],[-0.05778152]
7814,[-1.45576364],[-1.41432733]
7815,[-1.09780141],[-0.96796696]
7816,[-1.13832543],[-1.18622696]
7817,[-0.63177511],[-0.61895765]
7818,[0.61771569],[2.23513843]
7819,[0.07739534],[0.60482605]
7820,[-0.56423507],[-0.34259481]
7821,[-0.83439524],[-0.68417945]
7822,[0.11116536],[0.10495729]
7823,[-0.86816526],[-0.74813402]
7824,[0.80682781],[0.80041246]
7825,[-0.80062522],[-0.8308521]
7826,[0.58394567],[0.67679085]
7827,[2.94784717],[2.34198799]
7828,[-0.22653485],[0.05856965]
7829,[-0.74659318],[-0.92100526]
7830,[-0.19276483],[-0.32740659]
7831,[-1.34094556],[-1.37289529]
7832,[-0.29407489],[-0.28883645]
7833,[2.83902666],[3.11392155]
7834,[1.09049599],[0.97535158]
7835,[-0.56423507],[-0.68009128]
7836,[-0.02391472],[-0.11057512]
7837,[3.01538722],[2.2599846]
7838,[1.21206807],[1.05742198]
7839,[-0.56423507],[-0.33450446]
7840,[0.41509556],[0.81409435]
7841,[-0.86816526],[-0.99417331]
7842,[0.53666764],[0.49653642]
7843,[1.90097651],[1.69013479]
7844,[0.28001547],[0.02833141]
7845,[-1.07078539],[-0.8711401]
7846,[-0.86816526],[-0.78275759]
7847,[-0.74659318],[-0.61241965]
7848,[0.60420768],[-0.03314258]
7849,[-0.48318702],[-0.70548599]
7850,[-0.02391472],[0.6527964]
7851,[-0.55072706],[-0.43601921]
7852,[-1.15183344],[-1.30465579]
7853,[0.29352348],[-0.15900275]
7854,[-0.83439524],[-0.99104925]
7855,[-0.39538496],[-0.66693562]
7856,[-0.17250282],[0.06330355]
7857,[-0.32784492],[-0.1666058]
7858,[1.90097651],[2.07394001]
7859,[0.76630378],[0.69229402]
7860,[-1.34094556],[-1.36727588]
7861,[-0.07119275],[0.00914747]
7862,[1.7321264],[1.13681148]
7863,[-0.59800509],[-0.36170817]
7864,[-0.00365271],[0.75360612]
7865,[1.00944794],[1.01799319]
7866,[0.06388733],[0.23451925]
7867,[0.07739534],[0.5024155]
7868,[2.63040897],[2.05230629]
7869,[-0.73308517],[-0.65757629]
7870,[1.54976828],[1.38964336]
7871,[0.17870541],[-0.23995392]
7872,[0.14493539],[0.2708811]
7873,[0.21247543],[0.58493198]
7874,[-0.33535537],[-0.11147251]
7875,[0.7865658],[0.5835145]
7876,[-0.85465725],[-0.40714746]
7877,[-1.03701537],[-1.04577952]
7878,[0.06988489],[-0.36178654]
7879,[-1.07753939],[-0.99358529]
7880,[-0.83439524],[-0.94546202]
7881,[-0.54397305],[-0.37711602]
7882,[3.48816752],[1.92904371]
7883,[-0.49669502],[-0.66408359]
7884,[-0.38187695],[-0.4093411]
7885,[-0.10496277],[0.47670919]
7886,[-0.26030487],[-0.07322329]
7887,[0.53666764],[0.32331623]
7888,[-0.59800509],[-0.35223472]
7889,[-0.90193528],[-0.53652353]
7890,[-0.90193528],[-0.60122855]
7891,[-0.12522479],[-0.21458803]
7892,[0.51640562],[0.75442933]
7893,[-1.13832543],[-0.94897766]
7894,[0.60420768],[0.53750777]
7895,[-0.02391472],[0.02115513]
7896,[-0.86816526],[-0.77424887]
7897,[-0.53046505],[-0.5171745]
7898,[-0.55072706],[-0.61549691]
7899,[-0.15899481],[-0.08143603]
7900,[-1.45576364],[-1.25573528]
7901,[0.82033582],[1.51089804]
7902,[-0.86816526],[-0.85644169]
7903,[0.6379777],[0.83713844]
7904,[-1.13832543],[-1.18012157]
7905,[-0.32784492],[-0.10429904]
7906,[-0.26030487],[-0.02530001]
7907,[0.33404751],[0.27482748]
7908,[0.51640562],[0.44220414]
7909,[0.24624545],[-0.36268814]
7910,[2.13736666],[1.76680943]
7911,[-0.09145477],[-0.00736749]
7912,[1.21206807],[1.20196078]
7913,[-0.07119275],[-0.0677098]
7914,[1.63081633],[1.55101712]
7915,[0.1651974],[-0.11057629]
7916,[-0.67905314],[-0.66071184]
7917,[2.0495646],[1.80460595]
7918,[-0.7668552],[-0.9408096]
7919,[0.0098553],[-0.0461266]
7920,[-0.98973734],[-0.74242692]
7921,[-0.05768474],[-0.09107204]
7922,[-1.0842934],[-0.99614533]
7923,[-1.2396355],[-1.22734097]
7924,[-1.20586548],[-1.28997368]
7925,[0.13142738],[-0.08469108]
7926,[-0.98298333],[-0.95449389]
7927,[1.2593461],[0.96083975]
7928,[0.33404751],[0.28543696]
7929,[-0.22653485],[-0.12596629]
7930,[-1.18560346],[-1.09348151]
7931,[-0.42915498],[-0.43064747]
7932,[0.80682781],[0.77595203]
7933,[-0.21302684],[-0.39153983]
7934,[-0.66554513],[-1.09152512]
7935,[-0.05768474],[0.18995001]
7936,[0.27326147],[-0.15813562]
7937,[-1.10455541],[-1.13227423]
7938,[1.63081633],[1.84008499]
7939,[-0.462925],[-0.66904806]
7940,[-1.20586548],[-1.43347774]
7941,[-0.27381288],[-0.05637048]
7942,[1.49573625],[1.04529978]
7943,[1.09049599],[0.85576185]
7944,[-1.00324535],[-0.98862388]
7945,[0.65148571],[0.61963635]
7946,[0.04362532],[0.32538284]
7947,[-1.34094556],[-1.22403005]
7948,[-0.59800509],[-0.20382807]
7949,[0.83384383],[0.88652266]
7950,[-0.9357053],[-0.90751209]
7951,[-0.27381288],[-0.59088639]
7952,[0.55017564],[0.42782626]
7953,[0.28676948],[0.18071016]
7954,[1.14452802],[1.54421814]
7955,[-1.21937349],[-1.38846836]
7956,[2.17113668],[1.76556101]
7957,[-0.66554513],[-0.6063241]
7958,[-1.74618582],[-1.91088611]
7959,[0.4758816],[0.19701055]
7960,[-0.86816526],[-0.81701694]
7961,[0.28001547],[0.59359161]
7962,[1.56251984],[1.91737205]
7963,[-0.462925],[-0.39678435]
7964,[-1.13832543],[-1.2177789]
7965,[-0.04417674],[-0.05286398]
7966,[0.17870541],[0.07757268]
7967,[-0.80062522],[-0.46924484]
7968,[-0.26030487],[-0.56819702]
7969,[-0.59800509],[-0.68552052]
7970,[-0.34135292],[-0.26097745]
7971,[1.27960811],[1.02669139]
7972,[-0.53046505],[-0.6533761]
7973,[-0.22653485],[-0.17514136]
7974,[-0.74659318],[-0.55894654]
7975,[-0.462925],[-0.47693576]
7976,[-1.03701537],[-0.99596096]
7977,[-0.53046505],[-0.40255053]
7978,[-0.24679686],[-0.21217407]
7979,[-0.462925],[-0.4707761]
7980,[0.75279577],[0.76947605]
7981,[-1.34094556],[-0.54274419]
7982,[0.28001547],[-0.03655053]
7983,[-0.9357053],[-0.95833028]
7984,[1.49573625],[1.3340775]
7985,[0.65148571],[0.38636119]
7986,[-0.96947533],[-0.88060149]
7987,[-0.83439524],[-0.98562827]
7988,[-0.12522479],[-0.35324228]
7989,[-0.82764124],[-0.74163061]
7990,[-0.39538496],[-0.17913122]
7991,[-0.88167327],[-1.05482679]
7992,[-0.49669502],[-0.47683737]
7993,[3.29230139],[2.72560614]
7994,[0.55017564],[0.69247541]
7995,[-0.32784492],[-0.22027727]
7996,[-0.90193528],[-1.04225293]
7997,[0.41509556],[0.24962754]
7998,[0.07739534],[0.34165979]
7999,[-1.2396355],[-1.33867139]
8000,[-0.81413323],[-0.85308183]
8001,[2.39401882],[2.28861694]
8002,[-1.28691353],[-1.45425022]
8003,[1.40042374],[0.58363314]
8004,[-0.79387121],[-0.78633533]
8005,[-1.16534145],[-1.56346026]
8006,[-0.9221973],[-0.99304786]
8007,[0.21247543],[-0.06890486]
8008,[4.12979793],[3.79170617]
8009,[0.06388733],[0.11227724]
8010,[-1.01675336],[-1.03899214]
8011,[1.39442618],[1.86723247]
8012,[0.34755551],[0.71275092]
8013,[2.10359664],[2.3846178]
8014,[0.41509556],[0.27283033]
8015,[-1.19911147],[-1.07827597]
8016,[-0.47643301],[0.09386547]
8017,[0.11116536],[0.08788149]
8018,[-1.44225563],[-1.14845591]
8019,[0.68525573],[0.7508985]
8020,[0.04362532],[0.19570903]
8021,[-0.86816526],[-0.97114164]
8022,[0.31378549],[0.30653217]
8023,[-0.02391472],[-0.17119448]
8024,[-0.22653485],[-0.36895979]
8025,[-0.80062522],[-0.72948654]
8026,[1.4146882],[1.15186895]
8027,[-0.89518128],[-0.93578475]
8028,[-0.69931515],[-0.94305225]
8029,[-0.86141126],[-0.58576585]
8030,[-0.36161494],[-0.35189955]
8031,[-0.82764124],[-0.84239432]
8032,[1.69835638],[1.02113688]
8033,[-0.84114924],[-0.78095845]
8034,[0.41509556],[0.47534457]
8035,[0.25899701],[-0.03171977]
8036,[-0.82088723],[-0.78380118]
8037,[0.92164588],[0.98341347]
8038,[-0.53046505],[-0.49931143]
8039,[0.65148571],[0.75668507]
8040,[-0.90193528],[-0.77453553]
8041,[-0.56423507],[-0.42284912]
8042,[0.70551774],[-0.23935058]
8043,[0.61771569],[0.82483009]
8044,[2.64391698],[2.32478534]
8045,[0.4826356],[0.12596545]
8046,[-0.59800509],[-0.5567479]
8047,[-0.69931515],[-0.38689623]
8048,[1.69835638],[2.13881099]
8049,[-0.86816526],[-0.83270014]
8050,[-0.90193528],[-1.07874646]
8051,[-0.97698578],[-0.85613361]
8052,[-0.462925],[-0.48497024]
8053,[0.40158755],[0.23797726]
8054,[-1.34094556],[-1.2436005]
8055,[1.90097651],[2.05211614]
8056,[-0.36161494],[-0.45539252]
8057,[-0.40889297],[-0.9385914]
8058,[-0.6115131],[-0.25151778]
8059,[0.41509556],[0.44252164]
8060,[-0.29407489],[-0.19464484]
8061,[-1.00324535],[-0.55529817]
8062,[0.61096168],[0.54712208]
8063,[0.36781753],[0.27270282]
8064,[-0.7668552],[-0.96807987]
8065,[0.67174772],[0.48716129]
8066,[-1.48277965],[-1.4988576]
8067,[0.13818138],[0.31328482]
8068,[-0.26030487],[-0.35041342]
8069,[-0.02391472],[-0.08887804]
8070,[-1.07078539],[-0.76438498]
8071,[-0.32184736],[-0.50847048]
8072,[1.15802928],[1.59737606]
8073,[1.04321796],[1.11062492]
8074,[-0.9357053],[-0.69589954]
8075,[-1.07078539],[-0.89218464]
8076,[-0.29407489],[-0.5848948]
8077,[1.14452802],[1.10579014]
8078,[-0.66554513],[-0.50452252]
8079,[0.21247543],[0.27156846]
8080,[0.28001547],[-0.3827542]
8081,[-0.462925],[-0.20079226]
8082,[0.28001547],[-0.00915405]
8083,[-0.83439524],[-1.10324234]
8084,[-0.83439524],[-0.50152188]
8085,[-0.29407489],[-0.52040485]
8086,[-0.66554513],[-0.76274642]
8087,[-0.37512295],[-0.15247598]
8088,[0.04362532],[-0.16410623]
8089,[0.61771569],[1.0314221]
8090,[0.50289761],[0.03709988]
8091,[-0.74659318],[-0.70008183]
8092,[-0.42915498],[-0.38677152]
8093,[-1.34094556],[-1.26027975]
8094,[-0.00365271],[0.31209628]
8095,[-0.83439524],[-0.80909173]
8096,[-0.42915498],[-0.64535802]
8097,[-0.05768474],[-0.19643706]
8098,[2.42778884],[1.41070383]
8099,[2.57637694],[2.25003991]
8100,[-1.27340552],[-1.24424474]
8101,[-0.67905314],[-0.29770446]
8102,[-1.03701537],[-1.0844601]
8103,[0.4826356],[0.65156341]
8104,[-1.03701537],[-0.98325134]
8105,[-1.07078539],[-1.22493533]
8106,[0.07739534],[0.69035114]
8107,[-1.50979567],[-1.55148705]
8108,[-0.39538496],[0.02894715]
8109,[-0.1387328],[-0.11169409]
8110,[-0.26030487],[-0.43396402]
8111,[-0.53046505],[-0.60962059]
8112,[-0.39538496],[-0.35326074]
8113,[1.8874685],[1.41191106]
8114,[-0.24079931],[-0.45232712]
8115,[3.62324761],[3.38613385]
8116,[-0.19276483],[-0.31436383]
8117,[-1.27340552],[-0.92491796]
8118,[-1.20586548],[-1.25356949]
8119,[-0.26705888],[-0.15968572]
8120,[0.82033582],[0.30538555]
8121,[-0.49669502],[-0.08343644]
8122,[-0.53046505],[-0.50128842]
8123,[-1.00324535],[-1.00416328]
8124,[-0.56423507],[-0.31167995]
8125,[-1.03701537],[-1.29451568]
8126,[-0.98298333],[-0.9175867]
8127,[-0.12522479],[0.2141367]
8128,[0.42860357],[0.0601234]
8129,[-0.64528312],[-0.69737957]
